id,genre,track_name,artist_name,valence,energy,acousticness,danceability,liveness,loudness,tempo,speechiness,time_signature,key,instrumentalness,mood_encoded,mood
6N001s7hglDhXJyjeXeg4F,acoustic,Why Am I Crying,Molly Sandén,0.198,0.346,0.269,0.61,0.163,-8.723,138.331,0.0337,4,8,2.55e-05,3,Sad
4UE2pdunsfhZPJNPFGQCol,acoustic,With Or Without You (feat. Kina Grannis),Boyce Avenue,0.114,0.288,0.769,0.498,0.131,-9.007,106.327,0.027,4,5,0.0,3,Sad
7z7fquRFQFXt4Dj7ouWETq,acoustic,Hey There Delilah,Plain White T's,0.304,0.373,0.84,0.661,0.106,-8.169,103.999,0.0281,4,2,0.0,3,Sad
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.232,0.248,0.91,0.568,0.0732,-11.544,83.012,0.0352,4,10,0.0,3,Sad
4I1BlAeZK4UBSCKoaz8vQS,acoustic,If I Had a Boat,James Vincent McMorrow,0.179,0.295,0.805,0.46,0.111,-10.617,107.939,0.0355,4,7,0.0169,3,Sad
3ZffCQKLFLUvYM59XKLbVm,acoustic,Wake Me up When September Ends,Green Day,0.146,0.814,0.023,0.546,0.0972,-5.146,104.98,0.0314,4,7,0.0,2,Happy
362LzQDbfNdZDuv37BIEkG,acoustic,Song For Zula - Live From Spotify London,Phosphorescent,0.111,0.344,0.386,0.441,0.917,-9.799,87.588,0.0299,4,4,0.000277,3,Sad
2Uj2BjZXVv9WvYFEVl8TDi,acoustic,Silent Way,Milo Greene,0.0605,0.296,0.853,0.47,0.0957,-14.123,78.999,0.0328,4,7,0.368,3,Sad
6vrUTGn5p8IrfTZ0J6sIVM,acoustic,Iris,The Goo Goo Dolls,0.513,0.79,0.00133,0.291,0.0811,-5.683,155.667,0.0363,3,11,5.61e-06,1,Energetic
6m0qBDIhzICOwWMPZdgyVK,acoustic,Crazy in Love,Daniela Andrade,0.489,0.326,0.868,0.606,0.12,-9.401,78.906,0.119,4,7,0.0,3,Sad
3xEP8kzYIjbkUrjfsgn8Hh,acoustic,Common Denominator - iTunes Bonus,Justin Bieber,0.45,0.66,0.227,0.655,0.0549,-6.544,116.959,0.0274,4,0,0.0,2,Happy
70OYqWcYDDm2SJIRFmz3wo,acoustic,Längesen,Petter,0.458,0.46,0.827,0.436,0.175,-9.301,94.443,0.06,3,3,0.0,3,Sad
25J4d78ESH2MgAJoIakB8O,acoustic,Lost In The Light,Bahamas,0.246,0.267,0.793,0.597,0.111,-8.796,75.535,0.0309,4,2,0.0014,3,Sad
4hbGPfz03P8Nnh75mFIAoH,acoustic,Lucky - Live from Spotify Sessions,Jason Mraz,0.285,0.62,0.657,0.519,0.679,-8.156,100.137,0.151,4,9,0.0,3,Sad
1PX5pscejxT7eXAy35y1Ej,acoustic,No Ordinary Love - Live at Eddie's Attic,The Civil Wars,0.389,0.535,0.893,0.237,0.701,-10.352,164.977,0.0812,5,11,4.74e-06,3,Sad
4EqCvUpjREyjrdxFnXbhAb,acoustic,I Still Haven't Found What I'm Looking For,Various Artists,0.784,0.476,0.125,0.614,0.069,-11.727,87.673,0.0492,4,1,2.55e-06,2,Happy
3JvKfv6T31zO0ini8iNItO,acoustic,Another Love,Tom Odell,0.131,0.537,0.695,0.445,0.0944,-8.532,122.769,0.04,4,4,1.65e-05,3,Sad
